"study_name","population","sample_size","predictor","outcome","model","effect_size","performance","adjustment","validation_method","study_design","source_anchor","source_file"
"A risk score based on pediatric sequential organ failure assessment predicts 90-day mortality in children with Klebsiella pneumoniae bloodstream infection","Pediatric patients (≤18 years old) diagnosed with Klebsiella pneumoniae bloodstream infection (Kp-BSI)","146","pediatric Sequential Organ Failure Assessment (SOFA) score","90-day mortality","Cox proportional hazard model and multivariate logistic regression","Hazard ratios of 8.36 (95% CI 3.60 –27.83) and 20.27 (95% CI 7.47 –54.95) for medium-risk and high-risk groups, respectively, compared to low-risk patients.","AUC of SOFA for predicting 90-day mortality was 0.80 (95% CI 0.71 –0.89). Prediction model combining SOFA with hospitalization in the last 6 months and intra-abdominal source of infection had AUC = 0.89 (95% CI 0.82 –0.96; sensitivity = 0.86; specificity = 0.84)","age, sex, admission year, and admission ward","Receiver operating characteristic curves, DeLong’s test, integrated discrimination improvement index","retrospective cohort study","Page 1 - Abstract, Page 1 - Background, Page 2 - Methods, Page 3 - Results","Li_2020.pdf"
"Persistent high sepsis-induced coagulopathy and sequential organ failure assessment scores can predict the 28-day mortality of patients with sepsis: A prospective study","Patients with sepsis admitted to the emergency department","209","SIC (Sepsis-Induced Coagulopathy) score on day 4","28-day mortality","Cox proportional hazards model","HR = 3.736; 95% CI: 2.025–6.891","AUC for SIC score on day 4: 0.749 (95% CI: 0.674–0.823)","age, D-dimer, albumin, and lactate levels, SOFA score, APACHE II score, septic shock","ROC analysis","prospective, observational study","Page 1 - Abstract , Page 2","Li_2024.pdf"
"Clinical outcomes and prognostic factors of patients with sepsis caused by intra-abdominal infection in the intensive care unit","Patients with sepsis due to intra-abdominal infection (IAI) admitted to the ICU","219","SAPS 3 score","28-day mortality","Multivariable logistic regression","Not reported","c-statistics and Hosmer–Lemeshow tests","age, sex, Charlson Comorbidity Index, and lactic acid levels","Not reported","Post-hoc analysis of a prospective cohort study","Page 1 - Abstract, Page 2 - Methods","Park_2022.pdf"
"Risk factor analysis and nomogram for predicting in-hospital mortality in ICU patients with sepsis and lung infection","ICU patients with sepsis and lung infection","1676","Nomogram (age, lactate, temperature, oxygenation index, BUN, GCS, liver disease, cancer, organ transplantation, Troponin T(TnT), neutrophil-to-lymphocyte ratio (NLR), CRRT, MV, and vasopressor use)","In-hospital mortality","Logistic regression","Not reported","AUROC: 0.743 (95% C.I.: 0.713–0.773) in the training set and 0.746 (95% C.I.: 0.699–0.790) in the validation set","Multivariate logistic regression analysis was performed, and variables with p < 0.1 were excluded.","Internal validation, calibration plots, decision-curve analysis (DCA)","Retrospective cohort","Page 1 - Abstract, Page 2","Ren_2022.pdf"
"Factors predicting long-term survival of patients with sepsis on arrival at the emergency department","Patients with sepsis (including septic shock) admitted to the emergency department","446","Age ≥65 years, body mass index /C2018.5 kg/m2, hemato-oncologic diseases as comorbidities, and ventilator care during ICU stay","180-day and 365-day mortality","Binary logistic regression","Not reported","AUCs of 0.713 (95% CI 0.668 –0.756, P<.001) and 0.697 (95% CI 0.650 –0.740, P<.001) for 180- and 365-day models, respectively","Multivariate analysis identiﬁed the following factors: age ≥65 years, body mass index /C2018.5 kg/m 2, hemato-oncologic diseases as comorbidities, and ventilator care","ROC analysis","Retrospective, observational study","Page 1 - Abstract","Roh_2019.pdf"
"Prognostic accuracy of age-adapted SOFA, SIRS, PELOD -2, and qSOFA for in-hospital mortality among children with suspected infection admitted to the intensive care unit","children < 18 years admitted with infection to ICUs in Australia and New Zealand","2594","age-adapted SOFA","ICU mortality","AUROC analysis","Not reported","adjusted AUROC 0.829; 0.791–0.868","adjusted for baseline risk","receiver operating characteristic curve (AUROC)","multicentre binational cohort study","Abstract","Schlapbach_2018.pdf"
"Assessment of Clinical Criteria for Sepsis FortheThirdInternationalConsensusDefinitionsforSepsisandSepticShock(Sepsis-3)","Adult encounters (age ≥18 years) with suspected infection","148907 (primary cohort with suspected infection: n=74453 derivation; n=74454 validation); 7932 ICU encounters with suspected infection in the validation cohort; 66522 non-ICU encounters with suspected infection in the validation cohort","qSOFA score","In-hospital mortality","Multiple logistic regression","RelativetoqSOFAscoreslowerthan2,encounterswithqSOFAscoresof 2orhigherhada3-to14-foldincreaseinhospitalmortalityacrossbaselineriskdeciles.","AUROC=0.81;95%CI,0.80-0.82 (non-ICU encounters in the validation cohort)","Age, sex, race/ethnicity, and the weighted Charlson comorbidity score","ROC analysis","Retrospective cohort study","Page 762 - Methods section, Results section","Seymour_2016.pdf"
"The Accuracy of Sepsis Screening Score for Mortality Prediction at Emergency Department Triage","Adult patients who presented to the ED with a diagnosis of sepsis or infection-related conditions","550","National Early Warning Score (NEWS), quick Sequential Organ Failure Assessment (qSOFA), Search Out Severity (SOS) score, Emergency Severity Index (ESI) triage, and the Systemic Inflammatory Response System (SIRS) criteria","28-day mortality","ROC analysis","Not reported","NEWS (AUROC = 0.770; 95% CI: 0.705-0.835), qSOFA (AUROC = 0.7473; 95% CI: 0.688-0.806), SOS score (AUROC = 0.749; 95% CI: 0.685-0.815), ESI triage (AUROC = 0.599; 95% CI: 0.542-0.656), and SIRS (AUROC = 0.588; 95% CI: 0.522-0.654]","Not reported","AUROC","Retrospective cross-sectional study","Page 698-701 - Results section","Suttapanit_2022.pdf"
"Association of mean corpuscular volume with 28-day mortality in sepsis patients","Patients with sepsis","9,415","Mean corpuscular volume (MCV)","28-day mortality","Multivariate regression models","OR 1 .11 (95% CI 1 .01, 1 .23, P=0.04) increased followed by each 1 fl increase in MCV. At MCV <83 fl, there was a significant increase in the risk of 28-day mortality with each 1 fl increase in MCV (OR 1 .10, 95% CI 1 .02, 1 .17 , P=0.004)","Not reported","age, sex, body mass index, vital signs and comorbidities","smoothed curve fitting and threshold effects analysis","Retrospective cohort study","Page 1 - Abstract section","Tang_2025.pdf"
"Predictive factors of mortality in open abdomen for abdominal sepsis","Patients admitted with abdominal sepsis requiring open abdomen","113","APACHE II score, Frailty Clinical Scale, ASA grade IV","Mortality","Binary logistic regression model","APACHE II score (OR 1.18; 95% CI 1.05–1.32), Frailty Clinical Scale (OR 4.66; 95% CI 3.19–6.12), ASA grade IV (OR 7.86; 95% CI 2.18–28.27)","Not reported","Not reported","Not reported","Retrospective cohort study","Page 1 - Abstract","Tartaglia_2021.pdf"
"SEPSIS INDIA study","Adult patients admitted to ICUs in India with sepsis or septic shock according to Sepsis-3 criteria","1172","SOFA score","Hospital mortality","binary logistic regression","Not reported","AUC for SOFA score 0.768","Not reported","ROC analysis","Multicentre, prospective sepsis registry","Page 1 - Abstract, Page 2 - Methods, Page 3 - Results","Todi_2024.pdf"
"Predicting Mortality in Sepsis: The Role of Dynamic Biomarker Changes and Clinical Scores—A Retrospective Cohort Study","138 adult patients (aged > 18 years) who fulfilled the Sepsis-3 criteria","138","Percentage decrease in PCT, CRP, and LAC from the baseline to M3 (PCT_Delta, CRP_Delta, and LAC_Delta)","30-day mortality","logistic regression","Not reported","CRP_Delta AUC: 0.903, PCT_Delta AUC: 0.843, LAC_Delta AUC: 0.703","Not reported","ROC curve analysis","retrospective observational study","Page 1 - Abstract section","Varga_2024.pdf"
"China Critical Care Sepsis Trial (CCCST)","critically ill patients in tertiary hospitals in China","4,910","age, Acute Physiology, and Chronic Health Evaluation II (APACHE II) scores, pre-existing cardiovascular diseases, malignant tumors, renal replacement therapy (RRT), and septic shock","mortality in patients with sepsis","Multivariable stepwise logistic regression","prompt administration of antibiotics (OR 0.65, 95% CI 0.46–0.92) and 30 mL/kg of initial ﬂuid resuscitation during the ﬁrst 3h (OR 0.43, 95% CI 0.30–0.63)","Not reported","Variables with a p<0.2 in the univariate analysis","Not reported","prospective multicenter observational cohort study","Page 2 - Results section","Wang_2020.pdf"
"One -year mortality prediction for patients with sepsis","1,983 sepsis patients in the MIMIC-III database","1983","LDH level and clinical features","One-year mortality","Multivariate logistic regression","LDH: odds ratio = 1.28, 95% confidence interval (CI): 1.18–1.52","AUC = 0.773, 95%CI: 0.748–0.798 (training set); AUC = 0.750, 95%CI: 0.711–0.789 (testing set)","age, gender, ethnicity, potassium, calcium, albumin, hemoglobin, alkaline phosphatase, vasopressor, Elixhauser score, and respiratory failure","Internal validation (split training and testing sets), ROC analysis, calibration curve, decision curve analysis","Retrospective cohort study","Page 1 - Abstract and Page 2 - Methods section","Wang_2023.pdf"
"Presepsin level in predicting patients ’in-hospital mortality from sepsis under sepsis-3 criteria","Patients who were diagnosed as sepsis under the sepsis-3 criteria","138","Presepsin level","In-hospital mortality","Binary logistic regression","OR =1.221 (95% CI: 1.024 –1.455, P=0.026)","AUC =0.703, P=0.000; Sensitivity 62.71% (95% CI: 49.15% to 74.96%), Specificity 72.6% (95% CI: 60.91% to 82.39%)","Not reported","ROC curve analysis","Prospective observational study with retrospective analysis","Page 733 - Abstract, Page 734 - Results","Wen_2019.pdf"
"Systemic inflammatory response syndrome in Sepsis-3: a retrospective study","Patients with sepsis and septic shock according to the Sepsis-3 definition","631","SIRS criteria","In-hospital mortality","Logistic regression","Not reported","AUROC: 0.53 (95% CI, 0.49 –0.57)","Not reported","ROC analysis","Retrospective study","Page 1 - Abstract, Results section","Zhang_2019.pdf"
"Development and Validation of a Sepsis Mortality Risk Score for Sepsis-3 Patients in Intensive Care Unit","Sepsis-3 patients in the intensive care unit (ICU)","Development: 5,443; Validation: 5,658","Sepsis Mortality Risk Score (SMRS)","30-day mortality","Logistic regression","Not reported","Development AUC: 0.789; Validation AUC: 0.765","Not reported","External validation","Retrospective cohort study","Page 1 - Abstract and Results section","Zhang_2021.pdf"
