study_name;population;sample_size;predictor;outcome;timing;method;effect_size;performance;source_anchor;notes;;
Analysis of early risk factors for the lethal outcome of abdominal sepsis;Patients with abdominal sepsis or septic shock;134;SOFA score > 8;;;;;;;;;
Prognostic accuracy of the serum lactate level; the SOFA score and the qSOFA score for mortality among adults with Sepsis;Adults with sepsis;1865;Lactate level;Mortality (30-day, 90-day, 1-year, in-hospital, overall);Lactate level measured during the first 24 hours of ICU admission.If measured multiple times, the average was used.;Kaplan-Meier survival analysis, Cox regression, ROC analysis;AUROC of lactate (AUROC, 0.664 [95% CI, 0.639–0.689]) was significantly higher than that of qSOFA (AUROC, 0.547 [95% CI, 0.521–0.574]), and it was similar to the AUROC of SOFA (AUROC, 0.686 [95% CI, 0.  661–0.710]).;Lactate is an independent prognostic predictor of mortality for patients with sepsis. It has superior discriminative power to qSOFA, and shows discriminative ability similar to that of SOFA. Lactate cut-off value was 3.225 mmol/L.;Results;Data were collected from MIMIC III database.;
A risk score based on pediatric sequential organ failure assessment predicts 90-day mortality in children with Klebsiella pneumoniae bloodstream infection;Pediatric patients (≤18 years old) diagnosed with Klebsiella pneumoniae bloodstream infection (Kp-BSI);146;Pediatric Sequential Organ Failure Assessment (SOFA) score, hospitalization in the last 6 months, intra-abdominal source of infection;90-day mortality;at the onset of Kp-BSI;Cox proportional hazard model, receiver operating characteristic curves, multivariate logistic regression;AUC of SOFA for predicting 90-day mortality was 0.80 (95% CI 0.71–0.89). AUC of prediction model combining SOFA with hospitalization in the last 6 months and intra-abdominal source of infection was 0.89 (95% CI 0.82–0.96);sensitivity = 0.86;;;;
Persistent high sepsis-induced coagulopathy and sequential organ failure assessment scores can predict the 28-day mortality of patients with sepsis: A prospective study;Patients with sepsis admitted to the emergency department;209;SIC and SOFA scores on days 1, 2, and 4;28-day mortality;SIC and SOFA scores assessed on days 1, 2, and 4 of admission;;;;;;;
Association between hematocrit and the 30-day mortality of patients with sepsis;septic patients;2057;hematocrit (HCT) level;30-day mortality;HCT level within 24 hours after ICU admission;retrospective analysis, Cox proportional hazards regression model;Compared with the regular HCT level, the 30-day mortality of patients with the low HCT level increased by 58.9% (hazard ratio = 1.589, 95% confidence interval (CI) = 1.009–2.979, p < 0.05);not reported;Results;low HCT level, regular HCT level, and high HCT level. The 30-day mortality rate was 62.6%, 27.5%, and 9.9% for patients with the low HCT level, the regular HCT level, and the high HCT level, respectively (p < 0.05).;;
Clinical outcomes and prognostic factors of patients with sepsis caused by intra‑abdominal infection in the intensive care unit;Patients with sepsis due to intra-abdominal infection (IAI) in the intensive care unit (ICU);219;Coagulation dysfunction, SAPS 3 score, acute kidney injury with CRRT;28-day mortality;at the time of sepsis diagnosis;Post-hoc analysis of a prospective cohort study, Multivariable logistic regression;coagulation dysfunction (odds ratio: 2.78 [1.47–5.23], p = 0.001), SAPS 3 (p < 0.001), CRRT (p < 0.001);logistic regression performance is denoted by c-statistics and Hosmer–Lemeshow tests;Results;The overall 28-day mortality was 28.8%. The incidence of septic shock was 47% and was significantly higher in the non-survivor group (58.7% vs 42.3%, p = 0.028).;;
Risk factor analysis and nomogram for predicting in-hospital mortality in ICU patients with sepsis and lung infection;ICU patients with sepsis and lung infection;1676;age, lactate, temperature, oxygenation index, BUN, Glasgow Coma Score (GCS), liver disease, cancer, organ transplantation, Troponin T(TnT), neutrophil-to-lymphocyte ratio (NLR), and CRRT, MV, and vasopressor use;In-hospital mortality;The vital signs and laboratory data from blood examinations, basic blood biochemical indexes, and arterial blood gas were collected over the first 24 h of the ICU stay.;Retrospective data analysis and Nomogram prediction model constructed from the training set using logistic regression analysis;AUROC of 0.743 (95% C.I.: 0.713–0.773) in the training set and 0.746 (95% C.I.: 0.699–0.790) in the validation sets;The calibration plot indicated that the nomogram was adequate for predicting the in-hospital mortality risk in both sets. The decision-curve analysis (DCA) of the nomogram revealed that it provided net benefits for clinical use over using the SOFA score and SAPSII in both sets.;Abstract;Data were retrospectively extracted from the Medical Information Mart for Intensive Care (MIMIC-III) open-source clinical database. The definition of Sepsis 3.0 was used, which includes patients with life-threatening organ dysfunction caused by an uncontrolled host response to infection, and SOFA score ≥ 2.;;
Prognostic accuracy of age‑adapted SOFA; SIRS; PELOD‑2; and qSOFA for in‑hospital mortality among children with suspected infection admitted to the intensive care unit;Patients < 18 years admitted with infection to ICUs in Australia and New Zealand;2594;SIRS, age-adapted SOFA, quick SOFA and PELOD-2 scores;ICU mortality;Physiological parameters prospectively recorded during the first 24 h of ICU admission.;Multicentre binational cohort study;;;
Assessment of Clinical Criteria for Sepsis;Adult encounters (age ≥18 years) with suspected infection;148907;Sequential Organ Failure Assessment (SOFA) score, systemic inflammatory response syndrome (SIRS) criteria, Logistic Organ Dysfunction System (LODS) score, and quick Sequential Organ Failure Assessment (qSOFA) score;In-hospital mortality;;;;;;;;" P < .001). Relative to qSOFA scores lower than 2, encounters with qSOFA scores of 2 or higher had a 3- to 14-fold increase in hospital mortality across baseline risk deciles."",AUROC,RESULTS,not reported"
Accuracy of Sepsis Screening Score for Mortality Prediction at Emergency Department Triage;Adult patients who presented to the ED of a tertiary-care university hospital with an initial diagnosis of sepsis or other infection-related conditions;550;National Early Warning Score (NEWS), quick Sequential Organ Failure Assessment (qSOFA) score, Search Out Severity (SOS) score, Emergency Severity Index (ESI) triage, and the Systemic Inflammatory Response System (SIRS) criteria;28-day mortality, mechanical ventilation usage within 28 days and vasopressor usage within 28 days;Data collected from January–December 2019;Retrospective cross-sectional study. Prognostic accuracy was measured by the area under the receiver operating characteristic curve (AUROC);NEWS (AUROC = 0.770;;;;;
Association of mean corpuscular volume with 28-day mortality in sepsis patients;Patients with sepsis;9,415;Mean Corpuscular Volume (MCV);28-day mortality;MCV was determined within the initial 24 hours of ICU admission;Retrospective cohort study using eICU data and Multivariate regression analysis;The odds ratio (OR) for 28-day mortality was 1.11 (95% CI 1.01, 1.23, P=0.04) increased followed by each 1 fl increase in MCV.;not reported;Results;The smoothed fitted curves demonstrated a nonlinear positive correlation between MCV and 28-day mortality. The inflection point for the level of MCV was 83 fl. At MCV <83 fl, there was a significant increase in the risk of 28-day mortality with each 1 fl increase in MCV (OR 1.10, 95% CI 1.02, 1.17, P=0.004).;;
Predictive factors of mortality in open abdomen for abdominal sepsis;Patients with abdominal sepsis requiring open abdomen;113;APACHE II score, Frailty Clinical Scale, ASA grade IV;Mortality;Perioperative mortality;Retrospective cohort study, univariate and multivariate analyses;APACHE II score (OR 1.18;;;;;
(OR 4.66;;;;;;;;;;;;
"associated with mortality.""";Retrospective analysis of patients admitted from 2010 to 2019;;;;;;;;;;;
SEPSIS INDIA;patients with sepsis (including septic shock) admitted in Indian ICUs;1172;SOFA score on admission, source control, correct empirical antibiotic selection, intravenous thiamine;hospital mortality;Patients were followed till discharge or death while in hospital.;Multicentre, prospective sepsis registry using Sepsis 3 criteria. Univariate and multivariate analysis with binary logistic regression. ROC curve testing.;Observed hospital mortality for the entire cohort (n = 1172) was 36.3%, for those without shock (n = 672) it was 25.6% and for those with shock (n = 500) it was 50.8%. SOFA score AUC 0.768.;Goodness of fit model showed an accuracy rate of 89.4%. Hosmer and Lemeshow Test, with a p-value of 0.428.;Results;mortality of sepsis cohort was higher (36.3%) but septic shock mortality (50.8%) was comparable to Western reports. Sepsis secondary to nosocomial infections had the worst outcomes, while source control, correct empirical antibiotic selection, and intravenous thiamine were protective.;;
Predicting Mortality in Sepsis: The Role of Dynamic Biomarker Changes and Clinical Scores—A Retrospective Cohort Study;Patients with severe infections meeting Sepsis-3 criteria;138;Dynamic changes in procalcitonin (PCT), C-reactive protein (CRP), and lactate (LAC) from baseline to 48-72 hours after admission (M3). Baseline LAC and SOFA score.;30-day mortality;Markers measured at baseline (hospital admission), 24-48 hours after admission (M2), and 48-72 hours after admission (M3). Outcome assessed at 30 days post-admission.;Retrospective observational cohort study, Mann–Whitney U test, Spearman’s rank correlation, Logistic regression, ROC curve analysis;CRP_Delta AUC: 0.903, PCT_Delta AUC: 0.843, LAC_Delta AUC: 0.703;The percentage decrease in PCT, CRP, and LAC from baseline to M3 emerged as strong predictors of survival, with superior discriminatory ability compared to baseline values.;Abstract, Results sections;Exclusion criteria included age under 18 years, post-trauma or post-surgery status, burn injuries, current malignancy, and immunosuppression. Patients who did not survive to the second or third measurement point were also excluded.;;
China Critical Care Sepsis Trial (CCCST);Critically ill patients in tertiary hospitals in China;4910;Sepsis or septic shock on admission to the ICU or within the ﬁrst 48 h after admission to the ICU Acinetobacter, Pseudomonas, and Staphylococcus infections Age, Acute Physiology, and Chronic Health Evaluation II (APACHE II) scores, pre-existing cardiovascular diseases, malignant tumors, renal replacement therapy (RRT), and septic shock;ICU mortality;Patients were followed until death or discharge from the hospital.;Multicenter prospective observational cohort study;ICU mortality was higher in patients with sepsis (13.1%) and septic shock (39.0%) The prompt administration of antibiotics (OR 0.65, 95% CI 0.46–0.92) and 30 mL/kg of initial ﬂuid resuscitation during the ﬁrst 3 h (OR 0.43, 95% CI 0.30–0.63) improved the outcome in patients with septic shock.;not reported;RESULTS;2086 (42.5%) presented with sepsis or septic shock on admission to the ICU or within the ﬁrst 48 h after admission to the ICU. Acinetobacter, Pseudomonas, and Staphylococcus infections were associated with increased ICU mortality.The prompt administration of antibiotics and 30 mL/kg ﬂuid resuscitation decreased the risk of mortality.;;
One‑year mortality prediction for patients with sepsis;Patients with sepsis;1,983;Age, gender, ethnicity, potassium, calcium, albumin, hemoglobin, alkaline phosphatase, vasopressor, Elixhauser score, respiratory failure, and LDH;One-year mortality;within 24 h of patients’ admission to the ICU;Multivariate logistic regression;;;;;;
Presepsin level in predicting patients’ in-hospital mortality from sepsis under sepsis-3 criteria;ICU patients who were diagnosed as sepsis under the sepsis-3 criteria;138;Presepsin level;In-hospital mortality;Measured upon admission;Binary logistic regression analysis, Receiver operating characteristic (ROC) curve analysis;OR =1.221 (95% CI: 1.024–1.455, P=0.026), AUC =0.703 (P=0.000);Sensitivity: 62.71% (95% CI: 49.15% to 74.96%), Specificity: 72.6% (95% CI: 60.91% to 82.39%) at a cut-off point of 2,623 pg/mL;Results;Presepsin level was an independent risk factor of patients’ in-hospital mortality from sepsis. The presepsin level was positively associated with the SOFA score (ρ=0.396, P=0.000). The AUC value of a combination of presepsin and the SOFA score wassignificantly larger than that of the SOFA score alone (AUC: 0.817 vs 0.793, P=0.041).;;
Systemic inflammatory response syndrome in Sepsis-3: a retrospective study;Adult patients with sepsis or septic shock according to the Sepsis-3 definition;631;Systemic inflammatory response syndrome (SIRS) criteria;In-hospital mortality;Data from 1 January to 31 December 2015;Retrospective cohort study;AUROC, 0.53;;;;;
Development and Validation of a Sepsis Mortality Risk Score for Sepsis-3 Patients in Intensive Care Unit;sepsis-3 patients in the intensive care unit (ICU);Development set: 5,443;;;;;;;;;;
